dataset,seed,condition,subgroup,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
Schmidt,3,MGST3+TRIM21,combo_seen1,0.008159663822075811,0.007460900540138627,0.08563628320650833,0.06571399417832467,0.03747384445160094,0.4297433154053898,0.24237499385766684,0.9710941858638922,0.7287191920062254
Schmidt,3,PRKD2+TNFRSF1B,combo_seen1,0.012903269648573083,0.01015215275587427,0.21321083474397098,0.05002784438829129,0.034481220374245,0.3107594221606094,0.14483001971964748,0.8861681536433219,0.7413381339236744
Schmidt,3,TNFRSF1B+TRAF3IP2,combo_seen1,0.008800223750921102,0.007428848129866181,0.15583417647890851,0.009080525339590775,0.00874025217349296,0.03747285023414179,0.9623177764323321,0.9671979661821801,0.004880189749848052
Schmidt,3,TNFRSF12A+TRAF3IP2,combo_seen1,0.008532391282527545,0.007863442511956972,0.07840108926326819,0.00848972923010427,0.00807737628268288,0.04857080081649746,0.22348262576762726,0.26568567072536886,0.0422030449577416
Schmidt,3,PRKD2+VAV1,combo_seen2,0.006259133178517416,0.006252392428773023,0.001076946208386932,0.0036237360493050607,0.0036292386048584445,-0.0015184758157093252,0.1917002309764388,0.19074873700911255,-0.0009514939673262446
Schmidt,3,TNFRSF1A+TRAF3IP2,combo_seen2,0.005776706176877559,0.0057682076081851785,0.001471178978497777,0.004051082111297855,0.004036940237228971,0.003490888034444969,0.9410443927615123,0.9413936015914052,0.0003492088298928664
Schmidt,3,TRAF3IP2+TRIM21,combo_seen2,0.007454757042827272,0.007447943597604383,0.0009139728073961974,0.0057448954086284035,0.005748363270355656,-0.0006036422738077423,0.4468095673155363,0.44634028935590575,-0.00046927795963053187
Schmidt,3,ABCB10,unseen_single,0.0019248173842704522,0.0015565023919097108,0.19135061610031165,0.05040446409217623,0.035385891192265984,0.297961166146818,0.1694107066038851,0.5684020690395365,0.39899136243565136
Schmidt,3,APOL2,unseen_single,0.0021950963427149017,0.0012420790013065526,0.434157409341612,0.07824363310220724,0.034318851328077854,0.5613847418965298,0.1655268149930377,0.9129279573248853,0.7474011423318476
Schmidt,3,EMP3,unseen_single,0.0008360741330576484,0.0006263952960405045,0.2507897669914951,0.024085467721110358,0.009468308364636652,0.6068870875055543,0.16079119107475032,0.7796380637101107,0.6188468726353604
Schmidt,3,FOSB,unseen_single,0.00177823812826796,0.0019746207112060093,-0.11043660565828152,0.0444376532350085,0.05255343749433275,-0.18263305256926893,0.468074357465293,0.24590465821998908,-0.22216969924530394
Schmidt,3,LCP2,unseen_single,0.001931054115124479,0.0012497746636485401,0.3528018433766277,0.05816543581572281,0.029594663876770396,0.4911984503901782,0.42393968473100224,0.8423918052331593,0.418452120502157
Schmidt,3,LHX6,unseen_single,0.0016045634723104401,0.0011334197818622432,0.29362733140733194,0.04859187741611422,0.027926462145577365,0.42528538450098474,0.46412491378615384,0.7612332644979933,0.2971083507118395
Schmidt,3,MGST3,unseen_single,0.0018852738640865697,0.0011670795683969561,0.3809495847636887,0.06988573765468184,0.029654915030097973,0.5756657076923434,0.1879221812426348,0.8686797549535861,0.6807575737109512
Schmidt,3,TNFRSF1B,unseen_single,0.00759900468516551,0.004691238789343204,0.3826508886747677,0.24435117361643563,0.14304713288364623,0.4145838108058731,0.7782232191120991,0.9051983330058929,0.1269751138937938
