i,j,component,pair_type,component_status,unsupported_truth,seed,seen_category,train_edges,global_nullity,endpoint_degree_sum,null_projection,regularized_variance,cosine,nmse,catastrophic
72,79,5,cross,unwitnessed,0,5,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716332,0.998067415065854,0.003913546675797229,0
73,80,5,cross,unwitnessed,0,5,seen2,380,4,12,0.0,0.3620940524716332,0.9977951435373872,0.0045694104810586654,0
72,73,5,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714274,285.97844599961695,0.22080818404113497,0.9515654246853812,1
79,80,5,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714288,285.978445999617,0.09554654679991365,0.997403237995304,1
86,93,6,cross,witnessed,0,5,seen2,380,4,12,0.0,0.36209150808746,0.9980047799402355,0.003991594474196377,0
87,94,6,cross,witnessed,0,5,seen2,380,4,12,0.0,0.36209150808746,0.9965942919209023,0.0068291499503553305,0
86,87,6,within,witnessed,0,5,seen2,380,4,12,0.0,1.619553253141608,0.9995864004632568,0.0008484117025361041,0
93,94,6,within,witnessed,0,5,seen2,380,4,12,0.0,1.5119498956815596,0.9996499575993288,0.0007036121581284983,0
100,107,7,cross,witnessed,0,5,seen2,380,4,12,0.0,0.36209150808745993,0.997202857390884,0.006437700258765075,0
101,108,7,cross,witnessed,0,5,seen2,380,4,12,0.0,0.36209150808745993,0.9984072179070029,0.0033374363312568215,0
100,101,7,within,witnessed,0,5,seen2,380,4,12,0.0,1.619553253141608,0.9997421506411199,0.0005273490318314137,0
107,108,7,within,witnessed,0,5,seen2,380,4,12,0.0,1.5119498956815591,0.9996966332349478,0.0006066818190351722,0
2,9,0,cross,unwitnessed,0,6,seen2,380,4,12,0.0,0.3620940524716474,0.9980659811680791,0.003943834928760712,0
3,10,0,cross,unwitnessed,0,6,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9990155991675445,0.001981913392775372,0
2,3,0,within,unwitnessed,1,6,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.15562309518066983,0.9767971730713159,1
9,10,0,within,unwitnessed,1,6,seen2,380,4,12,0.14285714285714274,285.9784459998443,0.33645774287799834,0.9033419719847684,1
16,23,1,cross,unwitnessed,0,6,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716474,0.9984836471057392,0.003045037604457586,0
17,24,1,cross,unwitnessed,0,6,seen2,380,4,12,0.0,0.3620940524716332,0.9980813935648892,0.004056781036287031,0
16,17,1,within,unwitnessed,1,6,seen2,380,4,12,0.14285714285714274,285.97844599970784,0.29249739393093205,0.9186849954721418,1
23,24,1,within,unwitnessed,1,6,seen2,380,4,12,0.14285714285714288,285.97844599970796,0.37741356650019303,0.8770041730161007,1
30,37,2,cross,witnessed,0,6,seen2,380,4,12,0.0,0.3620915080874599,0.996823727344462,0.006522991793395067,0
31,38,2,cross,witnessed,0,6,seen2,380,4,12,0.0,0.3620915080874599,0.9975467476390785,0.004906046810984422,0
30,31,2,within,witnessed,0,6,seen2,380,4,12,0.0,1.619553253141607,0.9994216624658115,0.0011587468504334487,0
